sample_start,sample_end,num_samples,step_start,step_end,num_steps,tokens_start,tokens_end,num_tokens,avg_total_loss,avg_reconstruction_loss,avg_sparsity_loss,avg_sparsity,avg_zero_ratio,avg_l0_norm,avg_l1_norm,avg_avg_nonzero_activation,sparsity_coefficient,lr
1,1000,1000,1,100,100,0,1451423,1451423,140.89063263989985,0.04846872791647911,140.84216380119324,0.7237547940015793,0.7237547940015793,11315.003393554687,547.1091693115235,0.04461830772459507,2.591623036649215,2e-05
1001,2000,1000,101,200,100,1451423,2909764,1458341,30.394793565273286,0.04868652954697609,30.346107063293456,0.9668876767158509,0.9668876767158509,1356.2806443786621,36.76476556539536,0.023986942414194346,5.0,2e-05
2001,3000,1000,201,300,100,2909764,4355843,1446079,0.6251013568043708,0.0486719199642539,0.5764294359460473,0.9991648656129837,0.9991648656129837,34.20694624423981,0.5585032236203551,0.014826712254434824,5.0,2e-05
3001,4000,1000,301,400,100,4355843,5814541,1458698,0.08293055526912213,0.0485487386956811,0.03438181661069393,0.9999275344610214,0.9999275344610214,2.968037234544754,0.03798140581697226,0.01241642483510077,5.0,2e-05
4001,5000,1000,401,500,100,5814541,7279976,1465435,0.06491168897598981,0.04835067231208086,0.01656101664993912,0.9999622559547424,0.9999622559547424,1.5459193557500839,0.018822813290171325,0.011780090304091573,5.0,2e-05
5001,6000,1000,501,600,100,7279976,8741621,1461645,0.06156335026025772,0.04830619890242815,0.013257151460275054,0.9999704730510711,0.9999704730510711,1.2097835537791253,0.015336267547681928,0.011650428157299757,5.0,2e-05
6001,7000,1000,601,700,100,8741621,10171776,1430155,0.05522938910871744,0.04837479416280985,0.006854594704927877,0.9999829667806626,0.9999829667806626,0.6977712699770927,0.008048543994082138,0.011122667249292135,5.0,2e-05
7001,8000,1000,701,800,100,10171776,11637870,1466094,0.05583723071962595,0.048129476197063925,0.007707754542352631,0.9999817472696304,0.9999817472696304,0.7475208853185177,0.009169751192675903,0.011103866314515471,5.0,2e-05
8001,9000,1000,801,900,100,11637870,13083131,1445261,0.052314664013683794,0.04804787568747997,0.004266788276145235,0.9999891221523285,0.9999891221523285,0.44562708094716075,0.005110255741747096,0.010806138906627894,5.0,2e-05
9001,10000,1000,901,1000,100,13083131,14526017,1442886,0.05147405169904232,0.04816600453108549,0.003308047278551385,0.9999915200471878,0.9999915200471878,0.34734166368842123,0.00402241378033068,0.01082546696998179,5.0,2e-05
10001,11000,1000,1001,1100,100,14526017,15981966,1455949,0.05210153121501207,0.04798080094158649,0.004120729996357113,0.9999894368648529,0.9999894368648529,0.4324352680146694,0.005032800137996674,0.010598545931279658,5.0,2e-05
11001,12000,1000,1101,1200,100,15981966,17415373,1433407,0.05029334388673305,0.04803444173187017,0.002258902292815037,0.9999937492609025,0.9999937492609025,0.2560929596051574,0.0027814604237210005,0.010273912847042084,5.0,2e-05
12001,13000,1000,1201,1300,100,17415373,18891745,1476372,0.05002058293670416,0.04790471639484167,0.002115866431267932,0.9999942988157272,0.9999942988157272,0.23327631674706936,0.002604523373884149,0.010510663399472833,5.0,2e-05
13001,14000,1000,1301,1400,100,18891745,20366772,1475027,0.049784643091261384,0.04779770206660032,0.001986940938513726,0.9999946743249893,0.9999946743249893,0.21842154167592526,0.0024797799956286326,0.01028517127968371,5.0,2e-05
14001,15000,1000,1401,1500,100,20366772,21844344,1477572,0.049251092746853825,0.047791550308465956,0.0014595423985156231,0.9999958515167237,0.9999958515167237,0.17020744279026986,0.0018287457458791322,0.010153656294569373,5.0,2e-05
15001,16000,1000,1501,1600,100,21844344,23343284,1498940,0.04914792876690626,0.047769668102264407,0.001378260631172452,0.9999960905313492,0.9999960905313492,0.15992622923105956,0.0017393208749126644,0.010042441636323928,5.0,2e-05
16001,17000,1000,1601,1700,100,23343284,24805856,1462572,0.049161312691867354,0.0478087991476059,0.001352513689780608,0.9999962377548218,0.9999962377548218,0.15420601850375534,0.0017179798109282275,0.009942037025466562,5.0,2e-05
17001,18000,1000,1701,1800,100,24805856,26284104,1478248,0.04869591623544693,0.04768484845757484,0.0010110675988835283,0.9999971944093704,0.9999971944093704,0.11523068413138389,0.0012781598218134604,0.009873455134220421,5.0,2e-05
18001,19000,1000,1801,1900,100,26284104,27755107,1471003,0.0487159725278616,0.04777602218091488,0.0009399503670283594,0.9999972081184387,0.9999972081184387,0.11436107827350497,0.0011993658074061387,0.009993609646335245,5.0,2e-05
19001,20000,1000,1901,2000,100,27755107,29200179,1445072,0.049100424721837045,0.04780330266803503,0.0012971220769395586,0.9999966037273407,0.9999966037273407,0.13922785889357328,0.00166622599150287,0.010042833629995584,5.0,2e-05
20001,21000,1000,2001,2100,100,29200179,30676663,1476484,0.04822092361748218,0.04764770824462175,0.0005732155439909548,0.9999982184171676,0.9999982184171676,0.07336876779794693,0.0007389278190385085,0.00962498536799103,5.0,2e-05
21001,22000,1000,2101,2200,100,30676663,32116021,1439358,0.048640648759901525,0.047745047733187676,0.0008956009482062654,0.9999974167346954,0.9999974167346954,0.105846166331321,0.0011576788125967142,0.009740235600620508,5.0,2e-05
22001,23000,1000,2201,2300,100,32116021,33576985,1460964,0.04824880678206682,0.04770709458738565,0.0005417119265621295,0.999998340010643,0.999998340010643,0.06813831424806267,0.0006977685140009271,0.009599464437924326,5.0,2e-05
23001,24000,1000,2301,2400,100,33576985,35037717,1460732,0.04809335369616747,0.047526049911975864,0.0005673037110682344,0.9999982100725174,0.9999982100725174,0.07364511112682522,0.0007448975751321996,0.009471378033049404,5.0,2e-05
24001,25000,1000,2401,2500,100,35037717,36495701,1457984,0.04839620091021061,0.047748986296355725,0.0006472144904546439,0.9999981832504272,0.9999981832504272,0.07473160087130964,0.0008325111598242074,0.009611723157577216,5.0,2e-05
25001,26000,1000,2501,2600,100,36495701,37960546,1464845,0.04818541787564754,0.047551039718091485,0.0006343780912720831,0.9999981969594955,0.9999981969594955,0.07390017478726804,0.0008286066948494409,0.009570165970362723,5.0,2e-05
26001,27000,1000,2601,2700,100,37960546,39438695,1478149,0.0477949533239007,0.047399698458611965,0.00039525495860289085,0.999998745918274,0.999998745918274,0.05117034822236746,0.0005189346602492151,0.009434725474566221,5.0,2e-05
27001,28000,1000,2701,2800,100,39438695,40909165,1470470,0.04776019886136055,0.04738517936319113,0.00037501939415960804,0.9999987852573394,0.9999987852573394,0.0500117205362767,0.0004979916325100931,0.009355994341894984,5.0,2e-05
28001,29000,1000,2801,2900,100,40909165,42347346,1438181,0.047868193909525875,0.04753151990473271,0.00033667403218714756,0.9999989348649979,0.9999989348649979,0.04392296375706792,0.000444397878673044,0.009391348073258997,5.0,2e-05
29001,30000,1000,2901,3000,100,42347346,43827458,1480112,0.04783753864467144,0.04753704480826855,0.0003004937805235386,0.9999990218877792,0.9999990218877792,0.039963675872422756,0.000398141552504967,0.009317384343594312,5.0,2e-05
30001,31000,1000,3001,3100,100,43827458,45280988,1453530,0.04797648344188929,0.04753260247409344,0.0004438809282328293,0.9999986922740937,0.9999986922740937,0.0537873003538698,0.0005927446288842475,0.009238230674527585,5.0,1.8794233289646136e-05
31001,32000,1000,3101,3200,100,45280988,46689812,1408824,0.047903056889772415,0.04748542468994856,0.000417632095523004,0.9999987661838532,0.9999987661838532,0.05076199727598578,0.0005548544695921009,0.009531659688800573,5.0,1.6173001310615993e-05
32001,33000,1000,3201,3300,100,46689812,48138133,1448321,0.04759878385812044,0.04737782005220652,0.0002209636871339171,0.9999992436170578,0.9999992436170578,0.03121771207312122,0.0002964194212654547,0.009018366010859608,5.0,1.3551769331585846e-05
33001,34000,1000,3301,3400,100,48138133,49584587,1446454,0.04761916290968657,0.04735128413885832,0.0002678789040146512,0.9999991178512573,0.9999991178512573,0.03602484846953303,0.0003585517907049507,0.009186055399477483,5.0,1.0930537352555702e-05
34001,35000,1000,3401,3500,100,49584587,51051481,1466894,0.047698027677834036,0.04724776830524206,0.00045025929292023646,0.9999987077713013,0.9999987077713013,0.05297593392897397,0.0006064357489958638,0.00935250832233578,5.0,8.309305373525559e-06
35001,36000,1000,3501,3600,100,51051481,52525929,1474448,0.047479589246213434,0.04724347095936537,0.00023611821117810905,0.9999992221593856,0.9999992221593856,0.032582660517655314,0.00031854157630732514,0.008953488110564648,5.0,5.688073394495412e-06
36001,37000,1000,3601,3700,100,52525929,53972027,1446098,0.04755660392343998,0.047330823242664334,0.00022578061643798719,0.9999992609024048,0.9999992609024048,0.03033906070981175,0.0003036529438031721,0.009205714259296656,5.0,3.0668414154652676e-06
37001,38000,1000,3701,3800,100,53972027,55429054,1457027,0.04756132256239653,0.047361288703978065,0.00020003384583105799,0.9999993640184403,0.9999993640184403,0.025962829724885523,0.0002703847916382074,0.009075321252457797,5.0,4.456094364351246e-07
38001,39000,1000,3801,3900,100,55429054,56871380,1442326,0.047462591491639616,0.04725217841565609,0.00021041311392764329,0.9999992954730987,0.9999992954730987,0.028690456456970423,0.0002841748580613057,0.008945438489317893,5.0,0.0
39001,40000,1000,3901,4000,100,56871380,58368999,1497619,0.04727508787065744,0.047123125866055486,0.00015196181073406478,0.9999994629621506,0.9999994629621506,0.022005986142903566,0.00020420565986569271,0.008868543263524771,5.0,0.0
40001,41000,1000,4001,4100,100,58368999,59832211,1463212,0.04758755020797253,0.047356387190520766,0.00023116290445614142,0.9999992430210114,0.9999992430210114,0.031235742196440697,0.00031262835502275264,0.009051760183647275,5.0,0.0
41001,42000,1000,4101,4200,100,59832211,61275209,1442998,0.04757919881492853,0.047324203439056876,0.0002549952213848883,0.9999991893768311,0.9999991893768311,0.033618509680964054,0.0003437533606484067,0.009106778823770582,5.0,0.0
42001,43000,1000,4201,4300,100,61275209,62713348,1438139,0.04753806594759226,0.04735244445502758,0.00018562164423201465,0.9999993425607682,0.9999993425607682,0.026751112765632568,0.00025171974000841145,0.008900214890018106,5.0,0.0
43001,44000,1000,4301,4400,100,62713348,64186767,1473419,0.047839154191315174,0.04739874731749296,0.00044040696908268726,0.9999989634752273,0.9999989634752273,0.042517980332486334,0.0005794477943709353,0.009043454877100884,5.0,0.0
44001,45000,1000,4401,4500,100,64186767,65650501,1463734,0.04750629968941212,0.04730896554887295,0.00019733397580239397,0.9999993354082107,0.9999993354082107,0.027402866201009603,0.0002662225848871458,0.008994532558135688,5.0,0.0
45001,46000,1000,4501,4600,100,65650501,67108686,1458185,0.04746773418039083,0.04727244716137648,0.00019528694481778076,0.999999367594719,0.999999367594719,0.02604091093642637,0.00026248164189382803,0.009058579867705703,5.0,0.0
46001,47000,1000,4601,4700,100,67108686,68561220,1452534,0.04753624591976404,0.04721141129732132,0.00032483461349329444,0.9999989712238312,0.9999989712238312,0.04211876949528232,0.000440376161277527,0.008973304801620542,5.0,0.0
47001,48000,1000,4701,4800,100,68561220,70010470,1449250,0.04787085019052029,0.04752856250852346,0.00034228778135002357,0.9999989539384841,0.9999989539384841,0.042807745088357475,0.00046707450277608584,0.00914543251041323,5.0,0.0
48001,49000,1000,4801,4900,100,70010470,71470759,1460289,0.04749743405729532,0.04732730247080326,0.00017013178554407205,0.9999994111061096,0.9999994111061096,0.02442733948584646,0.0002293559784448007,0.008893299479968846,5.0,0.0
49001,50000,1000,4901,5000,100,71470759,72953006,1482247,0.04750512126833201,0.04734016317874193,0.00016495805588419898,0.9999994337558746,0.9999994337558746,0.023410380177665502,0.00022278776919847586,0.009131604423746466,5.0,0.0
50001,51000,1000,5001,5100,100,72953006,74393450,1440444,0.04754181422293186,0.047370793037116526,0.00017102140433053136,0.9999994033575058,0.9999994033575058,0.024607782075181602,0.00023202370553917717,0.008989815176464617,5.0,0.0
51001,52000,1000,5101,5200,100,74393450,75825935,1432485,0.04756022650748491,0.047333895191550256,0.00022633146047155607,0.9999992698431015,0.9999992698431015,0.029976837961003186,0.0003037158969527809,0.009260071264579893,5.0,0.0
52001,53000,1000,5201,5300,100,75825935,77287628,1461693,0.047509163580834866,0.04732694391161203,0.0001822195488603029,0.9999993753433227,0.9999993753433227,0.02545272693736479,0.00024380472888879012,0.008978082411922515,5.0,0.0
53001,54000,1000,5301,5400,100,77287628,78761936,1474308,0.04767008751630783,0.04739153109490871,0.00027855639420522495,0.9999991393089295,0.9999991393089295,0.035636840453371406,0.00037653179721019114,0.009265737095847725,5.0,0.0
54001,55000,1000,5401,5500,100,78761936,80200647,1438711,0.047629635483026504,0.047342940010130403,0.0002866956174875668,0.9999990695714951,0.9999990695714951,0.03784689653431997,0.0003860678238197579,0.009314930303953589,5.0,0.0
